;nonaeroAnthroF
1765;0.0288008326
1766;0.0314485154
1767;0.0354230036
1768;0.0379140111
1769;0.0383183889
1770;0.040802802
1771;0.0426418618
1772;0.0439200714
1773;0.0471441818
1774;0.0510850577
1775;0.0545195502
1776;0.0571334258
1777;0.0585790733
1778;0.0612828603
1779;0.0620570855
1780;0.0659871192
1781;0.0709832989
1782;0.0731141283
1783;0.0751431883
1784;0.0761090561
1785;0.0791563871
1786;0.081186132
1787;0.0831319032
1788;0.0885240561
1789;0.0909419858
1790;0.0934128512
1791;0.095895615
1792;0.0983142722
1793;0.1003025343
1794;0.1022529769
1795;0.1070805766
1796;0.1097031846
1797;0.1104884364
1798;0.1122698116
1799;0.1152885483
1800;0.1174625046
1801;0.120741288
1802;0.1249167233
1803;0.1281835603
1804;0.1295634429
1805;0.1318728376
1806;0.1353950291
1807;0.1369698239
1808;0.1406372133
1809;0.1449720609
1810;0.1476634488
1811;0.1511679765
1812;0.152647473
1813;0.1570695311
1814;0.1583409038
1815;0.1614629105
1816;0.1666888795
1817;0.1681723082
1818;0.1713777337
1819;0.1724539671
1820;0.1754080179
1821;0.17738331
1822;0.1793840636
1823;0.1842426446
1824;0.1853347626
1825;0.1889879491
1826;0.1897792729
1827;0.1902234111
1828;0.191116941
1829;0.1926718726
1830;0.1974008469
1831;0.1990708618
1832;0.1999050635
1833;0.2008916562
1834;0.2024640574
1835;0.2039545659
1836;0.2060062565
1837;0.2097192131
1838;0.2106664926
1839;0.2117810835
1840;0.2133039453
1841;0.2160656749
1842;0.2165631159
1843;0.2184471842
1844;0.2239189529
1845;0.2275626903
1846;0.2323368773
1847;0.2348290061
1848;0.2387420752
1849;0.2407552544
1850;0.2431467838
1851;0.2501107721
1852;0.2537315185
1853;0.2585012987
1854;0.2660134184
1855;0.2693366993
1856;0.2738205165
1857;0.2802853015
1858;0.2880486414
1859;0.2933197401
1860;0.2999302716
1861;0.3087180825
1862;0.3153229783
1863;0.3222843196
1864;0.3284284107
1865;0.3395177496
1866;0.3466464001
1867;0.3530110503
1868;0.3626763619
1869;0.3673837322
1870;0.371825319
1871;0.3770324781
1872;0.3856029738
1873;0.3914844821
1874;0.3982155375
1875;0.4076096498
1876;0.4147238873
1877;0.4219025014
1878;0.4274526299
1879;0.4381397562
1880;0.4474473357
1881;0.4548820615
1882;0.4665935227
1883;0.4736225322
1884;0.481826247
1885;0.4898907549
1886;0.502217608
1887;0.5120055408
1888;0.5212282203
1889;0.534617751
1890;0.5438630512
1891;0.5543181453
1892;0.5640132185
1893;0.5777733026
1894;0.586356658
1895;0.5952110916
1896;0.6041191132
1897;0.6119918073
1898;0.6215525035
1899;0.6323851065
1900;0.6456770857
1901;0.655141835
1902;0.6700326932
1903;0.6802095501
1904;0.6944562154
1905;0.7093831444
1906;0.7212131779
1907;0.7375109084
1908;0.7511612013
1909;0.7650339951
1910;0.7814747619
1911;0.794771074
1912;0.8087409403
1913;0.8236700938
1914;0.8352649722
1915;0.8483998701
1916;0.8646173272
1917;0.8793167547
1918;0.8925153446
1919;0.9032376446
1920;0.9186901234
1921;0.932174644
1922;0.9417908427
1923;0.9543881834
1924;0.9647533502
1925;0.9706997927
1926;0.9741174693
1927;0.9816571801
1928;0.9906360865
1929;0.9985606229
1930;1.0043066202
1931;1.0121116133
1932;1.0247200787
1933;1.0356248441
1934;1.050205252
1935;1.0639804737
1936;1.0868221557
1937;1.1059810146
1938;1.120013664
1939;1.1378586451
1940;1.1523722016
1941;1.167886195
1942;1.1810243881
1943;1.1947887589
1944;1.2012646539
1945;1.2058661604
1946;1.2136463415
1947;1.2227446786
1948;1.2336975868
1949;1.2409422916
1950;1.2536682507
1951;1.2651800511
1952;1.2831955066
1953;1.302949933
1954;1.3253829727
1955;1.3455034605
1956;1.3695335983
1957;1.3938828854
1958;1.4154250702
1959;1.4390192983
1960;1.4657683187
1961;1.4896195621
1962;1.5187438245
1963;1.5491575851
1964;1.580670502
1965;1.6098597373
1966;1.6485551934
1967;1.6775408281
1968;1.7187036335
1969;1.759414371
1970;1.8155416565
1971;1.8539185776
1972;1.9179597127
1973;1.9915189948
1974;2.0391812074
1975;2.0718960189
1976;2.1178434716
1977;2.1812394545
1978;2.2459081255
1979;2.3066700358
1980;2.3706557491
1981;2.4225520509
1982;2.4571280766
1983;2.5092539183
1984;2.5582465838
1985;2.6126893765
1986;2.6670398183
1987;2.7270486475
1988;2.8041127491
1989;2.8602401671
1990;2.9049255044
1991;2.9433335048
1992;2.9684833022
1993;2.9879368245
1994;3.0199656896
1995;3.0590189927
1996;3.1000202314
1997;3.1230016095
1998;3.1760136093
1999;3.2194310712
2000;3.246025646
2001;3.276721417
2002;3.3166718448
2003;3.3680956717
2004;3.4002645415
2005;3.4387498214
2006;3.4806115324
2007;3.5144981953
2008;3.5646343975
2009;3.5927920305
2010;3.6482612717
2011;3.6929436637
