;so2 emissions (tg)
1765;3.0360598639
1766;3.0571871514
1767;3.0534270478
1768;3.0638338724
1769;3.0702136497
1770;3.0786893523
1771;3.044670108
1772;3.0468871536
1773;3.0487502338
1774;3.0513090012
1775;3.0533388612
1776;3.0686332941
1777;3.0704800497
1778;3.071797898
1779;3.0750360279
1780;3.0755060128
1781;3.0952480448
1782;3.0965368442
1783;3.0996059383
1784;3.1012363513
1785;3.1027584605
1786;3.1266812543
1787;3.1281943172
1788;3.1296682355
1789;3.131173028
1790;3.1326736851
1791;3.1551202785
1792;3.1608507605
1793;3.1620425032
1794;3.1627236363
1795;3.163834851
1796;3.1749839372
1797;3.1872237754
1798;3.1984479524
1799;3.2109385135
1800;3.2285432901
1801;3.2295165968
1802;3.2894934368
1803;3.2681000253
1804;3.2902787007
1805;3.2920258418
1806;3.3109248451
1807;3.3304727512
1808;3.3153158336
1809;3.3177420611
1810;3.3330861779
1811;3.3571806753
1812;3.3736769977
1813;3.3788479143
1814;3.3885575241
1815;3.4030636781
1816;3.4454224061
1817;3.4639085767
1818;3.4699871787
1819;3.4741698661
1820;3.4838666618
1821;3.497673258
1822;3.5218846539
1823;3.5535544751
1824;3.5750993238
1825;3.6006996993
1826;3.6136362607
1827;3.6599098427
1828;3.6723770002
1829;3.6761946635
1830;3.8837074676
1831;3.8581100037
1832;3.8735899012
1833;3.89862973
1834;3.9191416134
1835;3.9501265012
1836;4.0914670141
1837;4.0954976283
1838;4.136670005
1839;4.1834665068
1840;4.2560911764
1841;4.2991685226
1842;4.3762809204
1843;4.4268209344
1844;4.5422461821
1845;4.6837932897
1846;4.6957199798
1847;4.8143498104
1848;4.8443294036
1849;4.918752211
1850;5.0110728566
1851;5.0431970969
1852;5.1226326143
1853;5.2063109368
1854;5.5399407122
1855;5.5812767593
1856;5.7444417795
1857;5.777859409
1858;5.8224742448
1859;6.0165163506
1860;6.2952941943
1861;6.4382308767
1862;6.4760214412
1863;6.7032860036
1864;6.950032515
1865;7.1547699072
1866;7.3160803311
1867;7.6224952495
1868;7.7567043341
1869;8.0670197688
1870;8.2249895329
1871;8.5480437512
1872;9.0788985705
1873;9.4520709029
1874;9.2172053854
1875;9.6359124622
1876;9.7936519779
1877;10.0127327854
1878;10.0714066355
1879;10.561422066
1880;11.4490311683
1881;11.7881802918
1882;12.2807342223
1883;12.8580463203
1884;13.0175919527
1885;13.1067141304
1886;13.2362175483
1887;13.7098250392
1888;14.8094741254
1889;14.8264426653
1890;15.9122903318
1891;16.5866181123
1892;16.9005037001
1893;16.7823429434
1894;17.2695698615
1895;18.1825286544
1896;18.7402065952
1897;19.5232107562
1898;20.5087241991
1899;22.1482938589
1900;23.1997050913
1901;24.0777931859
1902;24.759864729
1903;26.7042502657
1904;27.0749317091
1905;28.7187792604
1906;30.0769107305
1907;33.014329903
1908;31.633479704
1909;33.2286966523
1910;34.6743736718
1911;34.9956666072
1912;36.5354845051
1913;38.6722019878
1914;35.624502978
1915;35.6501519556
1916;38.6730990396
1917;40.2925363025
1918;39.9278311026
1919;34.4322950285
1920;37.8629433088
1921;32.4075945678
1922;34.2701828464
1923;39.6895062122
1924;39.3934840442
1925;39.8291851601
1926;39.978769568
1927;42.6090371437
1928;42.4554774042
1929;45.1029403287
1930;41.5709619308
1931;36.8516236667
1932;32.3834475524
1933;34.1210723804
1934;37.3846478101
1935;40.2091312096
1936;43.1688905366
1937;46.4940902598
1938;43.2016626641
1939;46.0383473115
1940;50.3439252145
1941;52.2656717269
1942;53.3725019752
1943;54.220561264
1944;53.1374871967
1945;46.8085275582
1946;46.3454719611
1947;52.003917573
1948;54.298345771
1949;52.3758118536
1950;59.9966
1951;60.7177182557
1952;61.4585803641
1953;62.6096191168
1954;63.0316947213
1955;68.9463871514
1956;73.9609836866
1957;77.3344688506
1958;78.5079712278
1959;82.5251010992
1960;85.9323695642
1961;96.601727726
1962;98.6333801461
1963;101.540258936
1964;105.5741052008
1965;108.0431851299
1966;110.4540220618
1967;109.2766518978
1968;113.5996521578
1969;116.8834341582
1970;123.2265262313
1971;123.5851544325
1972;126.8358042785
1973;132.7779211758
1974;130.8512043672
1975;128.590789439
1976;134.3732547961
1977;135.6616897381
1978;136.0610390006
1979;138.2855370855
1980;138.1033618212
1981;134.0062439562
1982;131.3571248975
1983;129.8512481675
1984;131.2769474914
1985;131.5711906949
1986;131.5765935113
1987;133.9890466299
1988;135.0822699659
1989;135.2518048385
1990;135.4944911168
1991;133.6385762236
1992;129.8685150888
1993;127.6454165824
1994;124.4836948413
1995;122.4045786884
1996;120.5485433873
1997;120.2073422633
1998;117.3483335533
1999;112.0915751667
2000;113.1722066606
2001;113.9162952045
2002;112.6675176881
2003;116.5478748105
2004;122.2556717752
2005;130.77064
2006;127.6273683469
2007;126.8802579462
2008;124.3436736477
2009;119.3670833383
2010;118.1233927175
2011;119.5280774231
2012;117.3799822041
2013;116.7251359769
2014;115.8042647768
